iter	RMSE
0	2813.206955
1	2771.750779
2	2727.507961
3	2690.146596
4	2654.614385
5	2623.954666
6	2591.051881
7	2558.877469
8	2535.893903
9	2515.929658
10	2490.619999
11	2465.263623
12	2444.749321
13	2424.965147
14	2404.58902
15	2385.159664
16	2367.434461
17	2351.341563
18	2336.462489
19	2318.188369
20	2307.058031
21	2292.712916
22	2278.628375
23	2261.478199
24	2246.214659
25	2236.70987
26	2228.101321
27	2216.556915
28	2202.753047
29	2193.565804
30	2186.023604
31	2180.788808
32	2169.183569
33	2158.140997
34	2152.639025
35	2146.006423
36	2138.295526
37	2133.190809
38	2125.374165
39	2115.171111
40	2109.782824
41	2104.933967
42	2096.904784
43	2088.247204
44	2079.603845
45	2068.995637
46	2059.527285
47	2050.328351
48	2042.886437
49	2034.738588
50	2030.773872
51	2025.189361
52	2019.31728
53	2013.000357
54	2007.949409
55	2003.742888
56	1999.506388
57	1992.308796
58	1988.894081
59	1983.822461
60	1977.185803
61	1973.985228
62	1970.683301
63	1967.094523
64	1961.785326
65	1955.726615
66	1949.110283
67	1947.049555
68	1943.427812
69	1939.516943
70	1936.843026
71	1934.628714
72	1932.474408
73	1928.63699
74	1922.077978
75	1919.981395
76	1915.329286
77	1912.888188
78	1910.022287
79	1907.879125
80	1903.008383
81	1901.477933
82	1895.395303
83	1893.180048
84	1889.63813
85	1885.951594
86	1884.133191
87	1882.813224
88	1880.253355
89	1879.52502
90	1874.28632
91	1872.279785
92	1870.53813
93	1868.253525
94	1866.662878
95	1865.090552
96	1861.258142
97	1859.420393
98	1856.933047
99	1856.187285
100	1852.437961
101	1849.038705
102	1845.218393
103	1844.474561
104	1838.818331
105	1836.379619
106	1830.886247
107	1827.656752
108	1826.37302
109	1824.360426
110	1823.507325
111	1821.529178
112	1818.583929
113	1816.595865
114	1813.678545
115	1810.216009
116	1809.110314
117	1804.042729
118	1801.79095
119	1801.121841
120	1800.636242
121	1799.760556
122	1796.663195
123	1794.953676
124	1793.517034
125	1792.660086
126	1791.307417
127	1790.57858
128	1789.433998
129	1786.261242
130	1782.728821
131	1778.953813
132	1778.395687
133	1774.479568
134	1771.238112
135	1769.944942
136	1767.690296
137	1766.900183
138	1763.613676
139	1760.542354
140	1757.558465
141	1755.103966
142	1753.914618
143	1750.479475
144	1747.746351
145	1747.06756
146	1744.498261
147	1742.129471
148	1739.618098
149	1738.592342
150	1736.351999
151	1735.612138
152	1733.805173
153	1731.529871
154	1729.712288
155	1727.310455
156	1725.232006
157	1724.072171
158	1723.770147
159	1719.208971
160	1717.058046
161	1716.027449
162	1715.313439
163	1713.92014
164	1713.575709
165	1712.999869
166	1711.6992
167	1709.481664
168	1705.287974
169	1704.393411
170	1703.967909
171	1702.992874
172	1702.20221
173	1701.410478
174	1701.165512
175	1698.800397
176	1697.555424
177	1694.628719
178	1692.345695
179	1691.417167
180	1690.018633
181	1688.082235
182	1684.624922
183	1683.86136
184	1683.237841
185	1681.129286
186	1680.827718
187	1679.328896
188	1678.441999
189	1676.25404
190	1674.993457
191	1673.744979
192	1671.17829
193	1669.526153
194	1665.42989
195	1663.563827
196	1663.219203
197	1661.903875
198	1658.321646
199	1656.947457
200	1655.433577
