iter	Passed	Remaining
0	4	4786
1	10	5480
2	14	4963
3	19	4744
4	22	4530
5	26	4439
6	30	4358
7	35	4417
8	39	4334
9	43	4327
10	46	4185
11	50	4119
12	54	4148
13	60	4255
14	64	4236
15	69	4258
16	74	4304
17	78	4261
18	82	4262
19	86	4230
20	92	4301
21	96	4274
22	100	4252
23	103	4197
24	107	4206
25	111	4165
26	114	4143
27	118	4122
28	123	4148
29	128	4140
30	132	4139
31	136	4114
32	139	4098
33	143	4085
34	146	4037
35	150	4035
36	154	4026
37	158	4012
38	161	3970
39	164	3956
40	167	3921
41	171	3920
42	174	3892
43	177	3855
44	181	3852
45	185	3839
46	189	3843
47	192	3809
48	195	3785
49	198	3772
50	202	3769
51	206	3765
52	209	3735
53	211	3711
54	215	3702
55	219	3698
56	223	3700
57	226	3679
58	229	3652
59	237	3720
60	241	3713
61	244	3694
62	247	3684
63	250	3669
64	254	3657
65	256	3632
66	259	3619
67	263	3607
68	265	3585
69	269	3587
70	273	3577
71	276	3567
72	279	3553
73	284	3562
74	287	3549
75	290	3537
76	294	3527
77	297	3512
78	300	3508
79	303	3488
80	306	3477
81	309	3460
82	312	3455
83	316	3455
84	321	3456
85	323	3442
86	328	3445
87	330	3429
88	334	3423
89	337	3412
90	341	3407
91	344	3400
92	348	3394
93	351	3384
94	354	3372
95	356	3360
96	359	3348
97	362	3335
98	366	3332
99	368	3318
100	371	3308
101	374	3297
102	378	3294
103	381	3290
104	387	3302
105	391	3302
106	394	3291
107	398	3289
108	401	3281
109	404	3270
110	407	3264
111	410	3251
112	413	3243
113	417	3241
114	419	3230
115	422	3220
116	425	3213
117	429	3207
118	432	3202
119	435	3194
120	438	3183
121	442	3181
122	446	3184
123	450	3180
124	453	3175
125	455	3159
126	458	3149
127	461	3143
128	465	3142
129	468	3136
130	471	3128
131	475	3125
132	478	3119
133	482	3118
134	485	3112
135	488	3104
136	492	3100
137	495	3094
138	498	3086
139	501	3079
140	503	3069
141	507	3064
142	510	3057
143	514	3059
144	517	3052
145	520	3042
146	526	3055
147	530	3056
148	534	3050
149	536	3042
150	540	3041
151	546	3048
152	549	3040
153	551	3031
154	554	3024
155	557	3015
156	561	3013
157	563	3004
158	566	2993
159	568	2986
160	571	2978
161	575	2975
162	578	2972
163	582	2968
164	585	2963
165	590	2964
166	595	2969
167	598	2963
168	601	2957
169	605	2958
170	610	2957
171	613	2951
172	616	2945
173	619	2941
174	623	2939
175	628	2941
176	630	2932
177	633	2926
178	637	2921
179	641	2920
180	644	2914
181	647	2909
182	650	2902
183	653	2899
184	658	2899
185	661	2893
186	663	2885
187	667	2882
188	670	2878
189	675	2881
190	679	2879
191	682	2873
192	685	2868
193	689	2865
194	693	2864
195	697	2860
196	700	2857
197	704	2852
198	708	2852
199	711	2846
200	714	2841
201	717	2835
202	721	2831
203	725	2831
204	729	2827
205	731	2819
206	735	2816
207	737	2808
208	741	2805
209	744	2799
210	747	2793
211	751	2793
212	755	2790
213	758	2786
214	761	2780
215	764	2775
216	768	2771
217	772	2772
218	776	2768
219	779	2762
220	782	2759
221	785	2754
222	790	2753
223	793	2748
224	796	2743
225	799	2738
226	803	2735
227	806	2732
228	809	2726
229	812	2720
230	816	2718
231	821	2720
232	825	2717
233	829	2715
234	833	2712
235	837	2711
236	841	2709
237	844	2704
238	849	2704
239	854	2705
240	857	2700
241	860	2696
242	864	2692
243	866	2686
244	871	2685
245	873	2677
246	876	2671
247	878	2663
248	881	2658
249	885	2656
250	888	2650
251	891	2645
252	894	2641
253	896	2634
254	899	2628
255	904	2629
256	908	2627
257	911	2622
258	915	2617
259	920	2619
260	923	2615
261	926	2611
262	934	2618
263	938	2615
264	941	2611
265	944	2606
266	948	2602
267	953	2603
268	958	2604
269	961	2600
270	967	2603
271	971	2599
272	973	2593
273	978	2592
274	983	2591
275	986	2588
276	989	2581
277	992	2578
278	996	2575
279	1001	2576
280	1005	2571
281	1008	2567
282	1012	2565
283	1015	2559
284	1018	2554
285	1021	2549
286	1023	2543
287	1026	2538
288	1029	2533
289	1033	2530
290	1035	2523
291	1038	2517
292	1040	2511
293	1044	2509
294	1049	2507
295	1051	2501
296	1054	2496
297	1058	2493
298	1061	2487
299	1064	2484
300	1067	2479
301	1071	2476
302	1076	2475
303	1080	2474
304	1086	2475
305	1089	2470
306	1094	2470
307	1101	2474
308	1107	2477
309	1112	2475
310	1116	2473
311	1145	2525
312	1164	2555
313	1173	2564
314	1187	2581
315	1209	2618
316	1237	2667
317	1250	2682
318	1295	2766
319	1301	2765
320	1309	2768
321	1345	2833
322	1355	2840
323	1381	2881
324	1399	2906
325	1411	2917
326	1431	2946
327	1440	2950
328	1454	2966
329	1463	2970
330	1467	2965
331	1476	2970
332	1509	3023
333	1520	3031
334	1532	3041
335	1537	3037
336	1542	3034
337	1546	3029
338	1551	3024
339	1553	3016
340	1558	3011
341	1561	3003
342	1563	2995
343	1566	2988
344	1570	2980
345	1574	2976
346	1578	2971
347	1583	2966
348	1587	2960
349	1591	2955
350	1594	2948
351	1598	2942
352	1607	2945
353	1611	2940
354	1615	2936
355	1619	2930
356	1624	2926
357	1628	2920
358	1633	2916
359	1637	2911
360	1642	2906
361	1645	2900
362	1650	2897
363	1656	2894
364	1659	2887
365	1662	2879
366	1665	2872
367	1669	2867
368	1673	2861
369	1677	2855
